timestamp,file,ticker,form_type,status
2026-05-10T00:40:22.570372,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/FS_2024_Q2_en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570377,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/FS_2024_Q3_en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570381,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/FS_2024_Q4_en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570385,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/FS_2025_Q1_en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570394,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/KAMART_FS_2021.md,KAMART,unknown,injected
2026-05-10T00:40:22.570399,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/FS/KAMART_FS_2024.md,KAMART,unknown,injected
2026-05-10T00:40:22.570403,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2021.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570408,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2022.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570413,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2023.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570421,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2023_th.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570451,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2024.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570462,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_56-1_OneReport_2024_full.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570470,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_OneReport_2021.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570479,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_OneReport_2022.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570488,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_OneReport_2023.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570496,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_OneReport_2024.md,KAMART,annual-report,injected
2026-05-10T00:40:22.570505,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/KAMART_OppDay_FY2023.md,KAMART,unknown,injected
2026-05-10T00:40:22.570513,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/annual-reports/kamart-or2021-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570518,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/annual-reports/kamart-or2022-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570523,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/annual-reports/kamart-or2023-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570528,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/annual-reports/kamart-or2024-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570532,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/index.md,KAMART,index,injected
2026-05-10T00:40:22.570536,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-1q2021-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570541,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-1q2022-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570546,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-1q2023-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570551,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-1q2024-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570556,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-2q2021-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570561,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-2q2022-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570565,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-2q2023-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570570,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-3q2021-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570575,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-3q2023-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570580,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/Kamart/quarterly-reports/kamart-fs-fy2021-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570587,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/or/20210401-kamart-ar2020-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570595,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/or/20230330-kamart-or2022-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570603,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/or/kamart-or2025-attachment-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570608,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/or/kamart-or2025-en.md,KAMART,unknown,injected
2026-05-10T00:40:22.570613,/home/poomk/.openclaw/workspace/investments/stocks/KAMART/urls.md,KAMART,urls,injected
